restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table booking,cuisine_type,area,local_address,cost_per_person,rating_category
#Feeltheroll,Quick Bites,3.4,7,200.0,No,No,Fast Food,Bellandur,Bellandur,100.0,Average
#L-81 Cafe,Quick Bites,3.9,48,400.0,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr,200.0,Average
#Refuel,Cafe,3.7,37,400.0,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,200.0,Average
'@ Biryani Central,Casual Dining,2.7,135,550.0,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,275.0,Low
'@ The Bbq,Casual Dining,2.8,40,700.0,Yes,No,"Bbq, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,350.0,Low
'@99,"Takeaway, Delivery",3.4,37,200.0,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,100.0,Average
'@Italy,Casual Dining,4.1,305,700.0,Yes,No,Italian,Banashankari,Kumaraswamy Layout,350.0,Excellent
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,No,No,North Indian,Indiranagar,Old Airport Road,150.0,Low
1000 B.C,Quick Bites,3.2,49,300.0,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,150.0,Average
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450.0,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Btm,225.0,Average
11 To 11 Express Biriyanis,Quick Bites,3.5,22,300.0,Yes,No,"Biryani, Kebab",Electronic City,Electronic City,150.0,Average
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,750.0,Excellent
12Th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,1000.0,Excellent
1441 Pizzeria,Casual Dining,4.1,119,800.0,Yes,No,"Pizza, Salad",Basavanagudi,Jp Nagar,400.0,Excellent
1522 - The Pub,Pub,4.2,1731,1400.0,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,700.0,Excellent
154 Breakfast Club,Cafe,4.0,1509,900.0,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,450.0,Average
1722 Urban Bistro,Casual Dining,4.1,218,600.0,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,300.0,Excellent
18+ Ice Cafe,Cafe,3.5,24,550.0,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,275.0,Average
1947,Casual Dining,3.9,620,1000.0,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,500.0,Average
1980S Games Cafe,Cafe,3.4,58,400.0,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,200.0,Average
1992 Chats - Space,Quick Bites,3.7,33,200.0,Yes,No,Street Food,Malleshwaram,Rajajinagar,100.0,Average
1Q1,"Casual Dining, Bar",4.3,595,2500.0,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,1250.0,Excellent
1To3 Kitchen,Delivery,3.1,11,800.0,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,400.0,Average
2 Statez,Casual Dining,3.7,209,600.0,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,300.0,Average
20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,1400.0,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,700.0,Average
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,500.0,Average
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,No,No,Continental,Basavanagudi,Jayanagar,500.0,Average
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,No,No,"Asian, Continental",Brigade Road,Cunningham Road,500.0,Average
24 Hours Cake Delivery,Delivery,3.3,4,700.0,No,No,Bakery,Indiranagar,Old Airport Road,350.0,Average
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,No,No,Cafe,Electronic City,Electronic City,400.0,Average
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,1500.0,Average
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Jp Nagar,150.0,Low
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City,1500.0,Excellent
24Th Main,Casual Dining,4.1,1234,800.0,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,Jp Nagar,400.0,Excellent
29 Degrees North,Quick Bites,3.9,283,250.0,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,125.0,Average
2Nd Home Restaurant,Quick Bites,3.7,21,500.0,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,250.0,Average
3 Leafs,Casual Dining,3.7,128,600.0,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,300.0,Average
3 Spice,Casual Dining,3.9,156,450.0,Yes,No,"North Indian, Chinese",Koramangala 7Th Block,Wilson Garden,225.0,Average
30 Square,Quick Bites,4.2,556,400.0,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,200.0,Excellent
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,200.0,Average
36Th Cross Coffee Mane,Casual Dining,3.7,29,500.0,No,No,"North Indian, Chinese",Jp Nagar,Btm,250.0,Average
37 China Town,Casual Dining,3.5,58,900.0,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,450.0,Average
"3B'S - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,No,Yes,"North Indian, Mediterranean, European, Bbq","Byresandra,Tavarekere,Madiwala",Btm,550.0,Excellent
3G'S - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,550.0,Excellent
3Rd Innings,"Casual Dining, Bar",3.0,17,1000.0,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,500.0,Low
4 Mangoes,Kiosk,3.7,14,200.0,No,No,Ice Cream,Indiranagar,Old Airport Road,100.0,Average
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,500.0,Average
4 States,Food Court,3.2,4,400.0,No,No,South Indian,Sarjapur Road,Bellandur,200.0,Average
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,800.0,Low
4700Bc Popcorn,"Takeaway, Delivery",4.1,55,500.0,No,No,Fast Food,Whitefield,Whitefield,250.0,Excellent
4Foodiez,Quick Bites,3.6,82,300.0,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,150.0,Average
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,200.0,Low
4K Biryani,Delivery,3.3,4,700.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,350.0,Average
4Th Tea Block,Cafe,4.0,62,150.0,No,No,Cafe,Basavanagudi,Jayanagar,75.0,Average
5 Star Food,Quick Bites,2.8,40,300.0,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli,150.0,Low
50-50 Eating House,Quick Bites,3.2,4,100.0,No,No,"South Indian, Biryani",Banashankari,Basavanagudi,50.0,Average
52 Wall Street,"Bar, Casual Dining",3.9,737,1400.0,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,700.0,Average
55 Wall Street,Bar,3.9,1763,1300.0,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,Jp Nagar,650.0,Average
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150.0,No,No,"Mithai, Street Food",Hsr,Hsr,75.0,Average
5Th Main Cafe,Cafe,3.5,15,250.0,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,125.0,Average
7 Days Restaurant,Quick Bites,3.8,478,400.0,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City,200.0,Average
7 Degrees North,Casual Dining,3.5,11,500.0,No,No,North Indian,Hsr,Hsr,250.0,Average
7 Hills Andhra Mess,Mess,3.4,8,300.0,No,No,Andhra,Indiranagar,Cv Raman Nagar,150.0,Average
7 Plates,Casual Dining,3.5,531,600.0,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar,300.0,Average
7 Shanghai,Quick Bites,3.5,18,250.0,Yes,No,Chinese,Electronic City,Electronic City,125.0,Average
7 Spice,Quick Bites,3.4,5,250.0,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi,125.0,Average
7 To 11 Food Court,Quick Bites,3.7,16,200.0,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi,100.0,Average
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000.0,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road,500.0,Average
7Biryanis,Casual Dining,3.2,4,600.0,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara,300.0,Average
7Th Heaven,Bakery,3.6,17,300.0,No,No,"Bakery, Desserts",New Bel Road,New Bel Road,150.0,Average
8 Slice,Delivery,3.7,74,600.0,Yes,No,Pizza,Brigade Road,Koramangala 6Th Block,300.0,Average
9 Bowls,Quick Bites,2.8,40,500.0,Yes,No,"Healthy Food, Continental, North Indian, Chinese",Hsr,Koramangala 1St Block,250.0,Low
90'S,Quick Bites,2.8,40,200.0,No,No,North Indian,Hsr,Hsr,100.0,Low
90'S Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000.0,No,No,Finger Food,Electronic City,Electronic City,500.0,Low
90'S Cafe,Quick Bites,2.8,40,500.0,No,No,"Fast Food, Burger",Jayanagar,Jp Nagar,250.0,Low
99 Caffe,Quick Bites,3.6,106,250.0,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,125.0,Average
99 Pancakes,Dessert Parlor,4.1,41,150.0,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street,75.0,Excellent
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250.0,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5Th Block,Koramangala 6Th Block,125.0,Average
99 Variety Dosa And Pav Bhaji,Quick Bites,4.0,101,250.0,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",Hsr,125.0,Average
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300.0,Yes,No,"South Indian, North Indian, Fast Food, Chinese",Hsr,Hsr,150.0,Low
99Foods,Quick Bites,3.4,32,400.0,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli,200.0,Average
9D Foods,Quick Bites,4.0,458,400.0,Yes,No,"North Indian, Street Food",Brookefield,Marathahalli,200.0,Average
9Th Cross Cafe,Cafe,3.6,12,550.0,No,No,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar,275.0,Average
A 1 Pizza And Food,Delivery,2.8,211,300.0,Yes,No,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road,150.0,Low
A Bar,Bar,3.3,19,600.0,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",Hsr,300.0,Average
A Hole Lotta Love Cafe,Cafe,4.3,2871,600.0,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4Th Block,Koramangala 5Th Block,300.0,Excellent
A Little For Love,Bakery,3.4,12,350.0,No,No,Bakery,Kalyan Nagar,Hennur,175.0,Average
A M Biryani Hotel,Quick Bites,3.3,6,300.0,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road,150.0,Average
A Southern Fair,Casual Dining,3.0,19,750.0,Yes,No,"Biryani, Seafood, South Indian",Whitefield,Whitefield,375.0,Low
A Today Thick Shakes,Beverage Shop,3.2,9,200.0,No,No,Beverages,Jayanagar,Koramangala 5Th Block,100.0,Average
A.M New Punjab Food Corner,Quick Bites,3.5,21,350.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,175.0,Average
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300.0,No,No,Biryani,Rajajinagar,Basaveshwara Nagar,150.0,Average
A1 Biriyani Point,Quick Bites,3.0,10,200.0,No,No,Biryani,Malleshwaram,Seshadripuram,100.0,Low
A1 Garam Masala,Casual Dining,3.6,25,500.0,Yes,No,"North Indian, Andhra, Chinese",Jp Nagar,Kanakapura Road,250.0,Average
A1 Hot Dum Biryani,Quick Bites,3.2,4,150.0,No,No,Biryani,Whitefield,Whitefield,75.0,Average
A1 Spice Inn,Casual Dining,3.5,46,500.0,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur,250.0,Average
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400.0,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield,200.0,Low
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400.0,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi,200.0,Low
A3 Nuwang Kitchen,Quick Bites,3.7,42,300.0,Yes,No,"Chinese, North Indian",Indiranagar,Ejipura,150.0,Average
Aaccord Restaurant,Casual Dining,2.8,40,600.0,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,300.0,Low
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800.0,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi,400.0,Average
Aadvik Nightfood,Delivery,3.6,22,350.0,Yes,No,Fast Food,Frazer Town,Frazer Town,175.0,Average
Aagaman Veg,Casual Dining,2.8,40,900.0,Yes,No,"North Indian, Chinese, South Indian",Electronic City,Electronic City,450.0,Low
Aaha,Quick Bites,3.6,93,300.0,Yes,No,"North Indian, Chinese",Marathahalli,Brookefield,150.0,Average
Aaha Andhra,Casual Dining,3.4,58,900.0,No,No,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli,450.0,Average
Aahar Cafe,Quick Bites,3.5,40,100.0,No,No,South Indian,Basavanagudi,Basavanagudi,50.0,Average
Aahar Vihar,Quick Bites,4.0,68,250.0,Yes,No,North Indian,Brookefield,Marathahalli,125.0,Average
Aahara Vihar,Quick Bites,3.5,13,300.0,No,No,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram,150.0,Average
Aaharam,Quick Bites,4.0,65,350.0,No,No,"Chinese, North Indian",Hsr,Koramangala 1St Block,175.0,Average
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650.0,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,325.0,Average
Aami Bangali,Casual Dining,3.0,66,700.0,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,350.0,Low
Aami Kolkata,Delivery,3.3,5,600.0,No,No,Bengali,Bannerghatta Road,Bannerghatta Road,300.0,Average
Aao G Khao G,Quick Bites,3.5,11,200.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,100.0,Average
Aapni Rasoi,Quick Bites,3.2,127,400.0,Yes,No,North Indian,Bellandur,Bellandur,200.0,Average
Aaranya Restaurant,Casual Dining,3.4,212,800.0,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",Hsr,400.0,Average
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200.0,Yes,No,"North Indian, Fast Food",New Bel Road,New Bel Road,100.0,Average
Aarya Pork Hotel,Quick Bites,3.3,11,300.0,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Btm,150.0,Average
Aashirvaad Restaurant,Quick Bites,3.1,249,300.0,Yes,No,"North Indian, Oriya, Chinese",Brookefield,Marathahalli,150.0,Average
Aashish Foods,Quick Bites,2.7,35,150.0,Yes,No,North Indian,Brookefield,Brookefield,75.0,Low
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600.0,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,300.0,Average
Aastha Bengali Mess,Quick Bites,3.9,131,250.0,Yes,No,"Chinese, Bengali",Malleshwaram,Yeshwantpur,125.0,Average
Aata'S Kitchen,Quick Bites,2.8,40,250.0,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,125.0,Low
Aathithya,Casual Dining,3.1,16,1100.0,No,No,"North Indian, Continental, Chinese",Brigade Road,Infantry Road,550.0,Average
Aathurar,Casual Dining,3.2,574,600.0,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar,300.0,Average
Abbabi Chicken,Quick Bites,3.7,134,200.0,No,No,Fast Food,Sarjapur Road,Bellandur,100.0,Average
Abc Grand,Casual Dining,3.5,54,400.0,No,No,"Andhra, Chinese, North Indian",Old Airport Road,Indiranagar,200.0,Average
Abhiruchi,Casual Dining,3.8,164,650.0,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli,325.0,Average
Abhiruchi Andhra Mess,Mess,3.1,61,300.0,Yes,No,"Andhra, Biryani, South Indian",Whitefield,Whitefield,150.0,Average
Abhiruchi Hotel,Casual Dining,3.2,12,500.0,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,250.0,Average
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli,150.0,Average
Abhiruchi Restaurant,Casual Dining,3.4,5,400.0,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road,200.0,Average
Ab'S - Absolute Barbecues,Casual Dining,4.6,1502,1400.0,No,Yes,"European, Mediterranean, North Indian, Bbq",Kalyan Nagar,Kalyan Nagar,700.0,Excellent
Absolute Chinese,Quick Bites,3.8,209,450.0,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar,225.0,Average
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150.0,Yes,No,Lebanese,Brookefield,Brookefield,75.0,Low
Absolute Waffles,Dessert Parlor,3.9,49,200.0,Yes,No,"Desserts, Fast Food",Malleshwaram,New Bel Road,100.0,Average
Aburrahaman,Delivery,2.8,40,400.0,No,No,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra,200.0,Low
Abzain Paradise,Quick Bites,2.9,42,300.0,No,No,North Indian,New Bel Road,Sanjay Nagar,150.0,Low
Achayyan'S,Quick Bites,3.8,405,350.0,Yes,No,"Kerala, South Indian",Indiranagar,Indiranagar,175.0,Average
Ackley Kitchen,Quick Bites,3.6,33,500.0,Yes,No,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura,250.0,Average
Adarsh Bakery,Bakery,3.1,10,300.0,No,No,"Bakery, Fast Food",Electronic City,Electronic City,150.0,Average
Adda,Quick Bites,3.3,5,300.0,No,No,South Indian,Basavanagudi,Shanti Nagar,150.0,Average
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300.0,No,No,"South Indian, North Indian",Banashankari,Banashankari,150.0,Average
Adiga'S,Quick Bites,3.3,55,150.0,No,No,South Indian,Basavanagudi,Jayanagar,75.0,Average
Adi'S Cake N Cafe,Bakery,3.3,4,400.0,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,200.0,Average
Adithya,Casual Dining,3.9,178,450.0,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Jp Nagar,225.0,Average
Adithya Family Restaurant,Quick Bites,3.7,27,250.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",Btm,125.0,Average
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200.0,No,No,North Indian,Brigade Road,Shanti Nagar,100.0,Low
Adithya Veg,Quick Bites,3.3,10,300.0,No,No,"South Indian, Chinese",Basavanagudi,Jayanagar,150.0,Average
Aditya Delights,Quick Bites,3.7,59,300.0,No,No,"Chinese, North Indian, Mangalorean",New Bel Road,New Bel Road,150.0,Average
Aditya Sweets,Sweet Shop,3.7,21,200.0,Yes,No,"Mithai, Fast Food",Brookefield,Whitefield,100.0,Average
Aditya Uphar,Quick Bites,3.5,30,200.0,No,No,"South Indian, Chinese, North Indian",Jp Nagar,Jp Nagar,100.0,Average
Adukkala Restaurant,Casual Dining,2.9,128,600.0,Yes,No,Kerala,Kammanahalli,Banaswadi,300.0,Low
Adupadi,Quick Bites,2.9,25,450.0,No,No,"South Indian, Chettinad",Whitefield,Whitefield,225.0,Low
Advika Briyani Center,Delivery,3.2,10,300.0,No,No,Biryani,Jp Nagar,Jp Nagar,150.0,Average
Adya Hotel,Quick Bites,3.3,4,400.0,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,200.0,Average
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200.0,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City,100.0,Low
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200.0,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",Btm,100.0,Average
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200.0,Yes,No,"Mithai, Desserts",Jp Nagar,Jp Nagar,100.0,Average
Afghani Tandoori Hub,Quick Bites,3.6,14,400.0,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",Btm,200.0,Average
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800.0,No,No,"North Indian, Chinese",Brookefield,Whitefield,400.0,Average
Afrina'S Kitchen,"Takeaway, Delivery",3.4,9,250.0,Yes,No,"Fast Food, Desserts",Frazer Town,Kammanahalli,125.0,Average
Agarwal Food Service,Delivery,3.5,16,400.0,Yes,No,"North Indian, Chinese, Biryani",Hsr,Hsr,200.0,Average
Agent Jack'S Bar,Bar,4.0,377,1300.0,No,Yes,"Continental, North Indian, Italian",Kalyan Nagar,Kalyan Nagar,650.0,Average
Agraharaa,Quick Bites,2.8,40,150.0,No,No,South Indian,Koramangala 4Th Block,Koramangala 6Th Block,75.0,Low
Agraharam Meal,"Takeaway, Delivery",3.7,61,300.0,No,No,"North Indian, South Indian",Marathahalli,Kaggadasapura,150.0,Average
Aha Juice Bar,Beverage Shop,3.6,13,200.0,No,No,"Beverages, Fast Food",Bannerghatta Road,Btm,100.0,Average
Ahaan Restaurant,Delivery,2.8,76,300.0,Yes,No,"North Indian, Chinese",Frazer Town,Rt Nagar,150.0,Low
Ahimsaamrit Green Cafe,Casual Dining,3.4,9,800.0,No,No,"Healthy Food, Salad, Continental",Indiranagar,Indiranagar,400.0,Average
Ahmad'S Chicken Hut,Quick Bites,3.2,9,200.0,No,No,"North Indian, Chinese",Kalyan Nagar,Banaswadi,100.0,Average
Ahmed'S Little Hut,Quick Bites,2.8,40,250.0,Yes,No,Fast Food,Bannerghatta Road,Btm,125.0,Low
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250.0,No,No,"North Indian, Chinese",Frazer Town,Frazer Town,125.0,Low
Aioli,Casual Dining,4.2,783,1400.0,No,Yes,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar,Kalyan Nagar,700.0,Excellent
Airlines Hotel,Quick Bites,4.0,867,400.0,Yes,No,"South Indian, North Indian, Street Food",Brigade Road,Lavelle Road,200.0,Average
Aisha Tharavad,Quick Bites,3.5,40,400.0,No,No,"South Indian, Kerala",Koramangala 6Th Block,Ejipura,200.0,Average
Aishwarya,Dhaba,3.3,6,450.0,No,No,"Chinese, North Indian",Whitefield,Whitefield,225.0,Average
Aishwarya Parkland,Casual Dining,2.9,59,500.0,No,No,"Chinese, North Indian",Bannerghatta Road,Bannerghatta Road,250.0,Low
Aishwarya Sweets,Sweet Shop,3.6,24,250.0,Yes,No,"Mithai, Street Food",Malleshwaram,Rajajinagar,125.0,Average
Aishwarya Uphar,Quick Bites,2.8,40,150.0,No,No,"South Indian, North Indian",Brigade Road,Ulsoor,75.0,Low
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500.0,Yes,Yes,"Biryani, South Indian",Bellandur,Sarjapur Road,250.0,Average
Akkad Bakkad,Casual Dining,3.9,72,600.0,Yes,Yes,"North Indian, Chinese",Electronic City,Electronic City,300.0,Average
Aks Family Dhaba And Restaurant,Quick Bites,3.6,40,500.0,Yes,No,"North Indian, Mughlai, South Indian",Marathahalli,Marathahalli,250.0,Average
Akshara,Casual Dining,3.8,42,700.0,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,350.0,Average
Akshatha Nati Style,Quick Bites,3.7,20,500.0,No,No,"South Indian, Chinese, North Indian",Rajajinagar,Vijay Nagar,250.0,Average
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600.0,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,300.0,Low
Akshaya Biryani,Quick Bites,3.6,20,300.0,Yes,No,"Biryani, North Indian",Bellandur,Sarjapur Road,150.0,Average
Akshaya Deluxe,Casual Dining,4.0,336,500.0,Yes,No,"North Indian, Chinese, Seafood, Biryani",New Bel Road,New Bel Road,250.0,Average
Akshaya Donne Biriyani,Quick Bites,3.0,39,300.0,Yes,No,"Biryani, South Indian, Kebab",Jp Nagar,Jp Nagar,150.0,Low
Akshaya Family Restaurant,Quick Bites,3.2,4,150.0,Yes,No,"South Indian, North Indian",Kalyan Nagar,Banaswadi,75.0,Average
Akshaya Grand,Casual Dining,3.4,29,750.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,375.0,Average
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200.0,No,No,"South Indian, Chinese",Church Street,Vasanth Nagar,100.0,Average
Akss - India Reimagined,Casual Dining,4.2,258,1800.0,No,Yes,"Modern Indian, North Indian",Malleshwaram,Sadashiv Nagar,900.0,Excellent
Al Amal Cafe,"Cafe, Quick Bites",4.0,74,300.0,No,No,"Cafe, Fast Food",Kalyan Nagar,Kammanahalli,150.0,Average
Al Amanah Cafe,Quick Bites,4.4,1413,300.0,Yes,No,"Middle Eastern, Fast Food, Rolls",Frazer Town,Kammanahalli,150.0,Excellent
Al Ameen Rolls Corner,Quick Bites,3.7,16,200.0,No,No,Rolls,Kalyan Nagar,Kammanahalli,100.0,Average
Al Barack Cafetaria,Quick Bites,3.6,20,300.0,No,No,Arabian,Kalyan Nagar,Banaswadi,150.0,Average
Al Daaz,Casual Dining,4.2,567,550.0,Yes,No,"North Indian, Continental, Bbq",Bellandur,Hsr,275.0,Excellent
