restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table booking,cuisine_type,area,local_address,cost_per_person,rating_category
Hyderabad Biryaani House,Casual Dining,3.5,374,550.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Whitefield,275.0,Average
Hyderabad Biryaani Palace,Casual Dining,3.3,12,700.0,No,No,"Chinese, South Indian, North Indian, Biryani",Bellandur,Bellandur,350.0,Average
Hyderabad Biryani,Casual Dining,3.2,145,600.0,Yes,No,"North Indian, Chinese, Biryani",Whitefield,Whitefield,300.0,Average
Hyderabad Biryani House,Casual Dining,4.1,213,800.0,No,No,"Biryani, Hyderabadi, Chinese",Malleshwaram,Malleshwaram,400.0,Excellent
Hyderabad Chefs,Casual Dining,4.0,268,800.0,Yes,No,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",Brookefield,Whitefield,400.0,Average
Hyderabad Cuisine,Casual Dining,2.8,70,650.0,No,No,"Seafood, Biryani, Hyderabadi, North Indian",Brookefield,"Varthur Main Road, Whitefield",325.0,Low
Hyderabad Cuisine Multicuisine Restaurant,Casual Dining,3.7,198,700.0,No,No,"North Indian, Chinese, Biryani",Brookefield,Whitefield,350.0,Average
Hyderabad Darbar,Casual Dining,3.7,40,700.0,Yes,No,"Andhra, South Indian",Electronic City,Electronic City,350.0,Average
Hyderabad Dawat,Casual Dining,3.2,30,650.0,Yes,No,"Biryani, Hyderabadi",Brookefield,Marathahalli,325.0,Average
Hyderabad Express,Quick Bites,2.8,40,300.0,Yes,No,"Hyderabadi, Biryani",Jayanagar,Banashankari,150.0,Low
Hyderabad Magic,Quick Bites,3.8,237,400.0,Yes,No,"Hyderabadi, Chinese, Biryani, Arabian",Electronic City,Electronic City,200.0,Average
Hyderabadi Bawarchi,Casual Dining,3.2,133,500.0,Yes,No,"North Indian, Chinese, Biryani",Bannerghatta Road,Bannerghatta Road,250.0,Average
Hyderabadi Bawarchi Biriyani,Casual Dining,3.4,4,450.0,Yes,No,Biryani,Sarjapur Road,Bellandur,225.0,Average
Hyderabadi Bawarchi Multi Cuisine Restaurant,Casual Dining,3.0,40,600.0,No,No,"Biryani, North Indian, Chinese",New Bel Road,Hebbal,300.0,Low
Hyderabadi Biriyani,Casual Dining,3.3,36,800.0,Yes,No,"Biryani, Hyderabadi, Chinese, North Indian",Sarjapur Road,Bellandur,400.0,Average
Hyderabadi Biryaani Hub,"Takeaway, Delivery",2.7,17,300.0,Yes,No,"Biryani, Fast Food",Electronic City,Electronic City,150.0,Low
Hyderabadi Biryani Corner,Quick Bites,3.4,7,350.0,No,No,"Hyderabadi, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,175.0,Average
Hyderabadi Biryani House,Quick Bites,2.8,40,300.0,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Btm,150.0,Low
Hyderabadi Biryani Hub,Casual Dining,2.9,102,600.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Marathahalli,300.0,Low
Hyderabadi Dum Biryani,Quick Bites,3.7,23,300.0,No,No,Biryani,Whitefield,Whitefield,150.0,Average
Hyderabadi Spice,Casual Dining,4.0,1369,600.0,Yes,No,"Biryani, North Indian",Electronic City,Electronic City,300.0,Average
Hyderabadi Zaiqa,Casual Dining,3.1,41,700.0,Yes,No,"Hyderabadi, North Indian, Biryani",Bellandur,Bellandur,350.0,Average
Hyderbadi Irani Tea,Quick Bites,3.4,10,100.0,No,No,Beverages,Kammanahalli,Banaswadi,50.0,Average
Hydrabad Biryani House,Casual Dining,2.8,40,400.0,No,No,"Biryani, North Indian",Malleshwaram,Malleshwaram,200.0,Low
Hype - Shangri-La Hotel,"Lounge, Bar",4.4,374,3000.0,No,Yes,Finger Food,Lavelle Road,Vasanth Nagar,1500.0,Excellent
I Cool,Quick Bites,4.0,76,150.0,Yes,No,"Juices, Fast Food",Bannerghatta Road,Jp Nagar,75.0,Average
I Siri Restaurant And Caterers,Quick Bites,3.4,6,400.0,No,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,200.0,Average
Ibaco,Dessert Parlor,3.6,39,300.0,Yes,No,Desserts,Malleshwaram,Rajajinagar,150.0,Average
I-Bar - The Park Bangalore,Lounge,3.8,617,3000.0,No,No,"North Indian, Chinese, Mediterranean",Brigade Road,Mg Road,1500.0,Average
Ice - Taj Mg Road Bengaluru,Club,4.1,608,2800.0,No,Yes,Continental,Brigade Road,Mg Road,1400.0,Excellent
Ice & Cream Creamery,Dessert Parlor,2.8,40,200.0,Yes,No,"Desserts, Ice Cream",Marathahalli,Cv Raman Nagar,100.0,Low
Ice & Spice,"Takeaway, Delivery",3.0,96,650.0,Yes,No,"Continental, Pizza, Fast Food",Brigade Road,Frazer Town,325.0,Low
Ice Berg,Quick Bites,3.3,7,300.0,No,No,Fast Food,Kalyan Nagar,Kammanahalli,150.0,Average
Ice Bowl,"Food Court, Dessert Parlor",3.4,8,250.0,No,No,"Desserts, Beverages",Bannerghatta Road,Bannerghatta Road,125.0,Average
Ice Burg,Quick Bites,2.8,40,300.0,No,No,"Cafe, Continental, Desserts",Jayanagar,Jp Nagar,150.0,Low
Ice Cafe & Lassi Shop,Beverage Shop,3.6,27,100.0,Yes,No,"Beverages, Juices",Jayanagar,Btm,50.0,Average
Ice Cream Buggy,Food Truck,3.1,21,100.0,No,No,Ice Cream,Hsr,South Bangalore,50.0,Average
Ice Cream Works,Dessert Parlor,3.8,83,300.0,Yes,No,"Ice Cream, Ice Cream",Indiranagar,Indiranagar,150.0,Average
